Fiat;Novo Uno 1.0;8.3;12.3;9.4;14.5
Fiat;Novo Uno 1.4;7.1;10.7;8.2;13.2
Fiat;Mille Fire Economy 1.0;8.9;12.7;10.7;15.6
Fiat;Novo Palio ;7.1;10.4;8.2;12.1
Fiat;Palio Fire Economy 1.0;7.9;12.2;9.7;14.8
Fiat;Siena Fire 1.0;8.2;12.00;9.8;14.1
Fiat;Siena 1.4;7.3;10.7;8.0;12.0
Fiat;Strada Fire 1.4;7.3;10.6;8.2;12.0
Ford;Ka 1.0;8.1;11.6;9.2;13.5
Ford;Fiesta Rocam 1.6;7.1;9.7;8.4;12.4
Ford;New Fiesta 1.6;7.5;11.0;9.3;13.9
Ford;Focus 1.6;6.4;9.4;8.5;11.8
Ford;Focus 2.0;6.1;9.0;7.8;11.6
Ford;EcoSport 2.0;5.3;7.9;6.3;9.2
Ford;Courier 1.6;7.0;9.7;8.4;12.1
Chevrolet;Celta 1.0;6.7;8.3;9.7;13.4
Chevrolet;Vectra 2.0;5.9;8.2;7.8;11.3
Chevrolet;Prisma 1.4;5.7;7.6;9.7;14.3
Volkswagen;Gol G4 1.0;7.4;10.5;8.6;12.3
Volkswagen;Gol Ecomotion 1.0;8.4;12.0;9.8;14.1
Volkswagen;Gol Rallye 1.6;7.1;10.4;9.4;13.7
Volkswagen;Polo BlueMotion 1.6;7.4;10.7;10.5;15.0
Volkswagen;Voyage 1.0;7.4;10.8;9.5;14.1
Volkswagen;Voyage 1.6;7.1;10.4;9.4;13.7
Volkswagen;Saveiro 1.6;7.3;10.7;8.5;12.3
Honda;Fit 1.4;7.6;11.4;8.7;13.2
Honda;Fit 1.5;7.2;10.5;8.6;12.5
Honda;City 1.5;7.5;11.0;9.1;13.9
Honda;Civic 1.8;7.2;10.2;9.7;14.1
Peugeot;207 1.4;6.5;10.2;8.4;12.7
Renault;Clio 1.0;8.6;11.4;9.2;14.5
Renault;Sandero 1.0;8.0;12.1;8.8;13.0
Renault;Logan 1.0;8.0;12.1;8.8;13.0
Renault;Symbol 1.6;7.5;10.8;8.4;12.8
Toyota;Corolla 1.8;7.0;10.2;9.6;13.5